,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT(ms),realSubtlety,numberObjects,trajectoryFilename
36,False,0,1,0.92,120,0.9468952951344459,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/172.pkl
37,False,6,0,0.92,120,0.8638863041265891,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/166.pkl
38,True,0,1,50.0,5,0.9903381305929618,1616.6666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/98.pkl
39,True,0,1,11.0,30,0.9901781480090975,3816.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/204.pkl
40,True,0,1,50.0,5,0.9930559518024501,1616.6666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/210.pkl
41,True,0,1,11.0,30,0.9935749011944105,2816.666666666667,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/211.pkl
42,False,0,1,3.3,60,0.9256537465281343,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/205.pkl
43,False,7,5,0.31,150,0.6961634275429378,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/167.pkl
44,False,0,1,3.3,60,0.7890653565355269,8000.000000000001,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/99.pkl
45,False,0,1,0.31,150,0.6787739713670355,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/173.pkl
46,True,0,1,11.0,30,0.9934379113828983,3216.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/8.pkl
47,False,0,1,3.3,60,0.956368363725453,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/198.pkl
48,False,0,1,1.83,90,0.9706956899338632,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/66.pkl
49,False,0,1,3.3,60,0.9454198605007276,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/72.pkl
50,True,0,1,11.0,30,0.9909031590725061,3016.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/64.pkl
51,True,0,1,50.0,5,0.9932588025639251,1416.6666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/70.pkl
52,False,0,1,3.3,60,0.8983352205752858,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/58.pkl
53,False,0,1,0.92,120,0.9259036349640205,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/159.pkl
54,False,0,1,0.92,120,0.8274336086486098,8000.000000000001,120,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/165.pkl
55,False,0,1,1.83,90,0.9079768418656567,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/171.pkl
56,False,0,1,0.92,120,0.6355729790258482,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/213.pkl
57,False,0,1,0.92,120,0.8827654423158305,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/207.pkl
58,False,0,1,1.83,90,0.9610495723016191,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/206.pkl
59,False,0,1,3.3,60,0.9849113119234889,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/212.pkl
60,True,0,1,3.3,60,0.9914405822703448,7816.666666666667,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/170.pkl
61,False,0,1,1.83,90,0.9803954876385114,8000.000000000001,90,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/164.pkl
62,False,4,2,0.92,120,0.9518050355814668,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/158.pkl
63,False,0,1,1.83,90,0.9158685156785538,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/59.pkl
64,True,0,1,11.0,30,0.9900832909573366,2616.666666666667,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/71.pkl
65,False,0,1,3.3,60,0.9675583937533887,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/65.pkl
66,False,0,1,3.3,60,0.7189097214994786,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/16.pkl
67,False,5,3,0.92,120,0.6148702517811067,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/103.pkl
68,False,2,0,0.31,150,0.5599359766709319,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/117.pkl
69,False,0,1,1.83,90,0.9591475816581658,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/116.pkl
70,False,0,1,0.92,120,0.6364369207266466,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/102.pkl
71,False,0,1,1.83,90,0.8756771275852987,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/17.pkl
72,True,0,1,11.0,30,0.9927485859592085,3816.666666666667,30,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/29.pkl
73,True,0,1,11.0,30,0.991766355503899,3216.666666666667,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/15.pkl
74,False,0,1,3.3,60,0.985617120519061,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/114.pkl
75,True,0,1,3.3,60,0.9901126015443918,6816.666666666667,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/100.pkl
76,False,0,1,3.3,60,0.9701722711813732,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/128.pkl
77,False,0,1,1.83,90,0.949070679356502,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/129.pkl
78,False,0,1,1.83,90,0.8681893984693327,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/101.pkl
79,False,0,1,1.83,90,0.9542443364022568,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/115.pkl
80,True,0,1,50.0,5,0.9924851227405194,2616.666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/14.pkl
81,True,0,1,50.0,5,0.9950084789823287,1616.6666666666667,5,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/28.pkl
82,False,0,1,1.83,90,0.977030823993315,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/10.pkl
83,False,0,1,1.83,90,0.7670664618402842,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/38.pkl
84,False,8,2,0.92,120,0.8205465087098678,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/139.pkl
85,False,5,3,0.92,120,0.8175524881468758,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/111.pkl
86,True,0,1,50.0,5,0.9905282077219448,1416.6666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/105.pkl
87,False,2,3,0.31,150,0.801119905415563,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/104.pkl
88,False,4,6,0.92,120,0.7462910725348855,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/110.pkl
89,False,2,8,0.31,150,0.4856157383341786,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/138.pkl
90,False,1,3,0.92,120,0.8305619532710452,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/39.pkl
